SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
MOBIKWIK,EQ,252,254.2,247.01,249.16,249.51,252.37,1167921,291743350.79,29-Jul-2025,19987,INE0HLU01028
ONEPOINT,BE,49.45,49.97,48.31,49.28,49.5,48.86,139006,6849174.76,29-Jul-2025,714,INE840Y01029
OLIL,SM,215,219,214,219,219,211.4,45600,9887940.00,29-Jul-2025,25,INE0OPS01011
ONELIFECAP,BE,13.73,14.3,13.3,13.33,13.34,13.73,17339,240614.59,29-Jul-2025,52,INE912L01015
ONESOURCE,EQ,1995.2,1995.2,1954.3,1969.3,1970,1995.9,121530,238941680.30,29-Jul-2025,11269,INE013P01021
ONMOBILE,EQ,50.05,52,50.05,50.91,51.1,50.36,207694,10532157.92,29-Jul-2025,1389,INE809I01019
ONWARDTEC,BE,329.5,329.5,323.8,329,329,330.4,27290,8872208.50,29-Jul-2025,137,INE229A01017
OPTIEMUS,EQ,565,596,555.1,592.25,594.9,567.05,222822,129023194.70,29-Jul-2025,13578,INE350C01017
OFSS,EQ,8681,8720,8580,8664.5,8645,8681,67051,580040668.00,29-Jul-2025,17733,INE881D01027
ORBTEXP,BE,233.2,240,223.6,237.48,238,235.19,22079,5165360.05,29-Jul-2025,310,INE231G01010
ORCHASP,BE,2.72,2.85,2.72,2.85,2.85,2.72,148792,419245.17,29-Jul-2025,133,INE215B01022
ORCHPHARMA,EQ,682.3,704.65,680,699.1,698.1,699.95,40890,28435124.65,29-Jul-2025,3046,INE191A01027
ORIANA,ST,2175.85,2229.5,2160.2,2221.4,2229.5,2186.75,37200,81821208.75,29-Jul-2025,286,INE0OUT01019
ORICONENT,EQ,47.05,48.4,45.77,47.87,48,47.02,454902,21488782.79,29-Jul-2025,1937,INE730A01022
ORIENTBELL,EQ,300.05,305.9,300.05,303.65,303.05,302.55,5112,1552597.50,29-Jul-2025,259,INE607D01018
ORIENTCEM,EQ,244.9,248.14,242,244.15,244.19,243.53,1442496,353186110.21,29-Jul-2025,24678,INE876N01018
ORIENTCER,EQ,41.21,45,41.21,42.32,42.26,41.49,192552,8344389.46,29-Jul-2025,3148,INE569C01020
ORIENTELEC,EQ,217.89,217.89,213,214.75,215,217.77,144885,31084202.63,29-Jul-2025,9293,INE142Z01019
GREENPOWER,EQ,13.68,14.44,13.53,14.16,14.3,13.68,5765833,80027790.07,29-Jul-2025,9968,INE999K01014
ORIENTHOT,EQ,145.3,146.69,141.4,143.89,143,145.3,176848,25544663.06,29-Jul-2025,2625,INE750A01020
ORIENTPPR,EQ,27.65,28.44,27.65,28.22,28.15,28.05,258894,7266565.85,29-Jul-2025,1183,INE592A01026
ORIENTLTD,EQ,84.27,85.48,82.41,83.62,83.33,84.17,3355,281371.02,29-Jul-2025,270,INE609C01024
ORIENTTECH,EQ,311.7,326.95,308.05,324.85,325.5,311.7,205395,64760992.00,29-Jul-2025,8466,INE0PPK01015
OAL,EQ,374.65,384.5,374.65,380.8,382.85,374.95,7801,2960098.20,29-Jul-2025,671,INE959C01023
ORIENTALTL,BE,10.24,10.3,9.7,10.15,10.19,10.02,282466,2824124.72,29-Jul-2025,1048,INE998H01012
OBCL,EQ,54.2,55.81,54.2,55,55,55.03,13628,751665.11,29-Jul-2025,124,INE426Z01016
ORISSAMINE,EQ,4930.1,5023.9,4910,4962.6,4958,4963.3,5938,29394055.60,29-Jul-2025,1722,INE725E01024
